date,close,vol,vol2,vol3,br,ar,mtm,mtma,rsi1,rsi2,kdj-j,hsl,mms
 2020/07/30,29.97,36805464,224667,260470,158.63,176.8,2.17,2.43,65.97,63.8,66.64,4.52,59.01
 2020/07/31,30.23,22370814,217835,256546,156.7,175.29,3.02,2.23,67.86,64.83,82.3,2.75,63.14
 2020/08/03,30.34,23530612,230536,236859,156.36,159.61,4.39,2.54,68.74,65.29,77.12,2.89,66.66
 2020/08/04,30.25,17902008,234084,223879,162.22,168.88,3.3,2.78,66.94,64.54,72.37,2.2,66.98
 2020/08/05,30.13,15126959,231472,216992,153.37,166.79,0.64,2.51,64.25,63.49,67.49,1.86,66.27
 2020/08/06,29.98,15951038,189763,207215,135.07,147.07,0.78,2.38,60.59,62.1,62.15,1.96,64.63
 2020/08/07,30.51,17371606,179764,198800,132.42,140.58,1.19,2.22,68.25,65.04,70.39,2.14,64.87
 2020/08/10,29.91,24772004,182247,206392,130.39,123.84,-0.14,1.69,53.99,59.35,56.99,3.04,62.69
 2020/08/11,28.29,27401638,201247,217665,114.47,110.87,-0.01,0.96,32.2,47.19,11.78,3.37,55.28
 2020/08/12,27.59,18306376,207605,219539,107.49,102.73,-1.35,0.19,26.62,43.03,1.63,2.25,44.46
 2020/08/13,27.67,12168725,200041,194902,114.07,106.87,-0.58,-0.02,28.32,43.65,0.02,1.5,36.94
 2020/08/14,27.68,12112520,189523,184644,105.41,96.36,-0.92,-0.3,28.57,43.73,1.52,1.49,35.42
 2020/08/17,28.25,15353663,170686,176467,115.98,103.97,-1.72,-0.79,42.26,48.47,12.48,1.89,38.4
 2020/08/18,28.55,14166246,144215,172731,110.33,96.32,-1.68,-1.04,48.5,50.85,23.66,1.74,42.32
 2020/08/19,29.11,21823304,151249,179427,111.99,101.82,-1.23,-1.25,58.53,55.07,38.14,2.68,48.45
 2020/08/20,28.47,10422034,147756,173898,111.01,102.62,-1.78,-1.32,46.19,49.75,36.04,1.28,49.27
 2020/08/21,28.08,12978901,149488,169505,114.08,102.34,-2.05,-1.56,40.02,46.74,43.6,1.6,47.31
 2020/08/24,28.38,10651164,140083,155385,109.14,97.61,-1.6,-1.68,46.6,49.31,55.03,1.31,44.49
 2020/08/25,28.55,10058267,131867,138041,95.24,85.1,-1.96,-1.72,50.31,50.78,60.88,1.24,45.19
 2020/08/26,27.74,11153415,110528,130888,97.04,87.61,-2.17,-1.8,36.01,44.13,40.13,1.37,44.02
 2020/08/27,27.9,7865536,105415,126585,102.5,86.63,-0.39,-1.66,40.05,45.67,22.34,0.97,42.31
 2020/08/28,28.18,10434283,100325,124907,101.1,82.76,0.59,-1.26,47.07,48.37,23.55,1.28,41.28
 2020/08/31,28.3,10557412,100138,120111,116.97,89.29,0.63,-0.82,50.07,49.54,28.95,1.3,44.25
 2020/09/01,27.91,8153749,96329,114098,102.07,83.48,0.23,-0.51,41,45.85,25.65,1,44.45
 2020/09/02,27.89,6980339,87983,99255,106.49,86.68,-0.36,-0.25,40.54,45.66,23.59,0.86,43.07
 2020/09/03,27.78,9566926,91385,98400,109.03,85.37,-0.77,-0.01,37.79,44.55,17.22,1.18,40.45
 2020/09/04,27.61,7656777,85830,93078,89.32,72.2,-1.5,-0.2,33.57,42.79,22.58,0.94,38.84
 2020/09/07,27.09,9314955,83345,91742,87.2,70.52,-1.38,-0.52,23.8,37.82,7.03,1.14,34.78
 2020/09/08,26.31,13076797,93192,94760,73.38,66.38,-1.77,-0.92,15.62,31.78,11.44,1.61,28.43
 2020/09/09,24.94,12715622,104662,96322,68.13,61.44,-3.44,-1.54,9.06,24.33,-0.36,1.56,19.92
 2020/09/10,24.97,8236225,102001,96693,73.95,58.93,-3.58,-2.07,10.05,24.75,-1.08,1.01,14.19
 2020/09/11,25.6,6653591,99994,92912,80.84,64.92,-2.14,-2.3,29.46,33.26,13.95,0.82,16.05
 2020/09/14,26.05,7938357,97241,90293,85.25,68.24,-1.85,-2.36,40.47,38.67,31.72,0.98,23.9
 2020/09/15,26.16,5059324,81206,87199,78.56,73.73,-2.02,-2.47,43.08,39.97,42.71,0.62,32.21
 2020/09/16,26.41,6679903,69135,86898,93.68,85.6,-1.89,-2.49,49.15,42.96,54.39,0.82,37.42
 2020/09/17,25.83,6818160,66299,84150,100.18,92.7,-2.08,-2.26,37.89,38.15,45.91,0.84,37.27
 2020/09/18,26.53,10950253,74892,87443,100.36,91,-1.36,-1.89,53.36,46.09,70.83,1.35,40.61
 2020/09/21,26.07,9319551,77654,87448,98.57,90.19,-1.71,-1.82,44.6,42.21,79.47,1.15,40.36
 2020/09/22,25.37,7154444,81845,81525,87.44,80.95,-2.24,-1.88,34.32,37.02,54.87,0.88,40
 2020/09/23,24.98,9926449,88338,78736,83.78,74.59,-2.11,-1.9,29.73,34.45,22.5,1.22,34.24
 2020/09/24,24.04,9885239,94472,80385,68.26,60.89,-2.27,-1.96,21.45,29.13,0.2,1.21,28.04
 2020/09/25,24.18,7052875,86677,80785,73.43,64.65,-0.76,-1.74,25.17,30.87,2.21,0.87,25.31
 2020/09/28,23.93,6155286,80349,79001,76.05,69.83,-1.04,-1.69,22.85,29.46,-1.84,0.76,23.16
 2020/09/29,24.07,4937084,75914,78879,71.17,63.89,-1.53,-1.66,27.36,31.37,1.1,0.61,24.45
 2020/09/30,24.1,7997460,72056,80197,74.15,68.31,-1.95,-1.61,28.43,31.8,4.46,0.98,25.07
 2020/10/09,24.41,7113255,66512,80492,84.76,74.71,-1.75,-1.55,39.52,36.31,15.03,0.87,28.78
 2020/10/12,25.03,10320994,73048,79863,83.56,77.09,-1.38,-1.4,55.92,44.34,49.2,1.27,35.69
 2020/10/13,24.84,6868852,74475,77412,80.02,70.63,-0.99,-1.44,50.85,42.55,65.53,0.84,41.41
 2020/10/14,24.24,8347514,81296,78605,70.93,66.78,-2.29,-1.65,37.85,37.35,55.73,1.03,41.96
 2020/10/15,24.45,6252088,77805,74931,78.38,73.53,-1.62,-1.66,43.88,40.14,61.36,0.77,39.76
 2020/10/16,23.9,7760822,79101,72806,74.89,71.66,-1.47,-1.58,33.63,35.6,25.76,0.95,36.19
 2020/10/19,23.43,7540035,73539,73293,72.36,67.73,-1.55,-1.55,27.13,32.21,4.23,0.93,33.65
 2020/10/20,23.46,6063415,71928,73202,74.87,64.24,-0.58,-1.42,28.19,32.65,8.4,0.75,29.89
 2020/10/21,22.95,7491479,70216,75756,71.78,60.7,-1.23,-1.46,21.73,29.1,-0.39,0.92,26.72
 2020/10/22,22.49,8427432,74566,76186,75.18,62.11,-1.44,-1.32,17.4,26.28,-1.93,1.04,23.91
 2020/10/23,21.85,8705108,76455,77778,83.15,64.83,-2.22,-1.42,13.07,22.91,-5.53,1.07,19.37
 2020/10/26,22.2,6904368,75184,74361,77.71,68.11,-1.9,-1.49,25.29,28.39,11.17,0.85,19.48
 2020/10/27,23.02,11762037,86581,79254,80.34,71.84,-1.39,-1.46,46.45,39.39,39.81,1.45,26.55
 2020/10/28,22.69,7371915,86342,78279,70.17,64.88,-2.34,-1.75,40.86,36.9,49.12,0.91,33.84
 2020/10/29,22.26,13258411,96004,85285,64.08,68.31,-2.58,-1.98,34.39,33.86,44.28,1.63,36.7
 2020/10/30,21.94,8802923,96199,86327,61.4,64.35,-2.3,-2.12,30.13,31.73,36.19,1.08,32.87
 2020/11/02,21.2,12052041,106495,90839,62.97,64.74,-3.25,-2.29,22.42,27.4,13.03,1.48,28.24
 2020/11/03,22.09,12940940,108852,97717,66.06,68.57,-1.81,-2.28,43.34,38.43,35.77,1.59,30.67
 2020/11/04,23.06,21522640,137154,111748,78.53,81.96,-0.37,-2.11,58.12,47.86,78.17,2.65,38.59
 2020/11/05,23.07,13687965,138013,117008,86.32,80.3,-0.39,-1.78,58.25,47.95,93.01,1.68,48.62
 2020/11/06,23.08,12946012,146299,121249,88.08,86.72,0.13,-1.33,58.41,48.04,98.54,1.59,53.16
 2020/11/09,23.24,14756355,151708,129101,96.82,93.36,0.75,-0.82,61.27,49.69,104.19,1.81,54.04
 2020/11/10,22.91,11470184,148766,128809,94.71,90.23,1.06,-0.11,52.36,46.39,93.32,1.41,53.1
 2020/11/11,24.24,27089630,159900,148527,107.78,105.11,2.04,0.54,72.03,58.51,101.4,3.33,57.8
 2020/11/12,24.52,20250884,173026,155520,102.34,102.38,1.5,0.85,74.67,60.55,105.45,2.49,62.6
 2020/11/13,23.88,15314909,177764,162032,88.7,93.49,1.19,1.11,59.31,53.92,92.1,1.88,65.66
 2020/11/16,24.59,16516991,181285,166497,91.69,97.9,2.33,1.48,68.06,59.31,95.24,2.03,65.5
 2020/11/17,24.43,21829764,202004,175385,88.17,92.43,2.49,1.77,64.32,57.65,84.3,2.68,63.56
 2020/11/18,24.07,14216184,176257,168079,86.58,94.37,2.87,2.07,56.01,53.95,67.35,1.75,63.19
 2020/11/19,23.63,11363208,158482,165754,85.36,92.69,1.54,1.99,47.09,49.69,42.4,1.4,58.17
 2020/11/20,23.8,8238231,144329,161046,81.7,90.46,0.74,1.86,50.72,51.31,36.59,1.01,54.81
 2020/11/23,24.22,17654484,146604,163944,90.36,103.52,1.15,1.85,59.07,55.2,47.73,2.17,55.31
 2020/11/24,23.95,8386654,119718,160861,89.6,104.49,0.87,1.61,52.24,52.27,35.57,1.03,56.46
 2020/11/25,22.92,14577867,120441,148349,85.63,98.07,-0.32,1.14,34.17,42.82,2.9,1.79,52.01
 2020/11/26,22.59,9241440,116197,137340,85.12,99.74,-0.32,0.61,30.16,40.28,-8.78,1.14,44.42
 2020/11/27,22.72,6923807,113569,128949,90.87,106.35,-1.52,0.1,33.83,41.76,-5.68,0.85,39.15
 2020/11/30,22.83,8278471,94816,120710,97.45,114.88,-1.69,-0.3,37.18,43.07,3.72,1.02,39.37
 2020/12/01,23.08,5663606,89370,104544,100,121.13,-0.8,-0.63,44.81,46.08,18.27,0.7,42.4
 2020/12/02,23.01,6479718,73174,96807,92.97,112.23,-1.58,-1.04,43.06,45.35,24.07,0.8,44.27
 2020/12/03,22.71,6259722,67211,91704,93.25,110.26,-1.72,-1.27,35.83,42.22,17.41,0.77,43.82
 2020/12/04,22.85,7721098,68805,91187,101.04,104.79,-1.22,-1.42,41.34,44.18,22.7,0.95,42.85
 2020/12/07,22.33,6952215,66153,80485,95.61,100.97,-1.3,-1.38,29.9,38.83,5.1,0.85,39.49
 2020/12/08,22.07,6685798,68197,78784,99.22,105.42,-1.73,-1.39,25.64,36.43,0.08,0.82,36.57
